block_signed_at,block_height,block_hash,tx_hash,tx_offset,successful,miner_address,from_address,from_address_label,to_address,to_address_label,value,value_quote,pretty_value_quote,gas_offered,gas_spent,gas_price,fees_paid,gas_quote,pretty_gas_quote,gas_quote_rate,transfers,gas_metadata.contract_decimals,gas_metadata.contract_name,gas_metadata.contract_ticker_symbol,gas_metadata.contract_address,gas_metadata.supports_erc,gas_metadata.logo_url,wallet
2021-06-22T08:16:53Z,12682915,0xe2b153f40911e089e4730d2faa040a9f94300bf5b9cd972e531797bf883e0848,0xeba127ec95d76f210e22bbe9281320b95643b3a3dd69c84715df38225f485ce1,74,True,0x1ad91ee08f21be3de0ba2ba6918e714da6b45836,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,0.0,$0.00,1312754,885121,29000000000,25668509000000000,48.192230843772705,$48.19,1877.484619140625,"[{'block_signed_at': '2021-06-22T08:16:53Z', 'tx_hash': '0xeba127ec95d76f210e22bbe9281320b95643b3a3dd69c84715df38225f485ce1', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0xfd3dfb524b2da40c8a6d703c62be36b5d8540626', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '263686166590000', 'balance': None, 'quote_rate': 0.02163643017411232, 'delta_quote': 57052.27331303884, 'pretty_delta_quote': '$57,052.27', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0xeba127ec95d76f210e22bbe9281320b95643b3a3dd69c84715df38225f485ce1'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-06-07T19:48:09Z,12589354,0xad6f03df6cb59b9314f58a24250267002acaafc703a0a91391ff49b8cfd34bb2,0x453f1f0a8126fb2515348429d93026aa6dba4b186c780224ecee93fb2621ac94,224,True,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x722122df12d4e14e13ac3b6895a86e84145b6967,,0,0.0,$0.00,1166448,1088148,19000000000,20674812000000000,53.178049388654294,$53.18,2572.11767578125,"[{'block_signed_at': '2021-06-07T19:48:09Z', 'tx_hash': '0x453f1f0a8126fb2515348429d93026aa6dba4b186c780224ecee93fb2621ac94', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0x722122df12d4e14e13ac3b6895a86e84145b6967', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '500000000000000', 'balance': None, 'quote_rate': 0.021190987899899483, 'delta_quote': 105954.93949949741, 'pretty_delta_quote': '$105,954.94', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0x453f1f0a8126fb2515348429d93026aa6dba4b186c780224ecee93fb2621ac94'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-06-07T19:45:57Z,12589345,0xe4af157869791b94d9ec0a1fb1360baad854e9e3a14d3704f5be9baaeb982e97,0x0b2777a67b84fcd887e8d93993d443e1470ce36b3c4bb0797cd582c3735e6e35,164,True,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x722122df12d4e14e13ac3b6895a86e84145b6967,,0,0.0,$0.00,1157429,1079129,20000000000,21582580000000000,55.51293550696289,$55.51,2572.11767578125,"[{'block_signed_at': '2021-06-07T19:45:57Z', 'tx_hash': '0x0b2777a67b84fcd887e8d93993d443e1470ce36b3c4bb0797cd582c3735e6e35', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0x722122df12d4e14e13ac3b6895a86e84145b6967', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '500000000000000', 'balance': None, 'quote_rate': 0.021190987899899483, 'delta_quote': 105954.93949949741, 'pretty_delta_quote': '$105,954.94', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0x0b2777a67b84fcd887e8d93993d443e1470ce36b3c4bb0797cd582c3735e6e35'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-06-07T19:42:45Z,12589329,0x408df7175e08be6fce7a3cee0c16d59e0b86236c40796afd968bd3f7d26c26e1,0x80f1c863e7be39ef1458ad2d7ce9dc4eeb4fe09d4736026beff0e55e3b9ff165,26,True,0x99c85bb64564d9ef9a99621301f22c9993cb89e3,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,100000000000000000000,257211.767578125,"$257,211.77",1418149,931208,24000000000,22348992000000000,57.48423735909375,$57.48,2572.11767578125,"[{'block_signed_at': '2021-06-07T19:42:45Z', 'tx_hash': '0x80f1c863e7be39ef1458ad2d7ce9dc4eeb4fe09d4736026beff0e55e3b9ff165', 'from_address': '0xfd3dfb524b2da40c8a6d703c62be36b5d8540626', 'from_address_label': None, 'to_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'IN', 'delta': '1263686166598172', 'balance': None, 'quote_rate': 0.021190987899899483, 'delta_quote': 267787.5826565222, 'pretty_delta_quote': '$267,787.58', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0x80f1c863e7be39ef1458ad2d7ce9dc4eeb4fe09d4736026beff0e55e3b9ff165'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-05-28T06:54:07Z,12521342,0x0443e95233717dd937909f942350a0c572e48acef626d1ad2489d0ecd0ac89ef,0xc2fd47e6328bd6361dd6495626a9ce63ec4cf5dd542653b921f8e4b634e0ce99,34,True,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,0.0,$0.00,594334,410452,49000000000,20112148000000000,48.97900698220605,$48.98,2435.294677734375,"[{'block_signed_at': '2021-05-28T06:54:07Z', 'tx_hash': '0xc2fd47e6328bd6361dd6495626a9ce63ec4cf5dd542653b921f8e4b634e0ce99', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0xfd3dfb524b2da40c8a6d703c62be36b5d8540626', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '599313318920000', 'balance': None, 'quote_rate': 0.02162270061671734, 'delta_quote': 129587.724706184, 'pretty_delta_quote': '$129,587.72', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0xc2fd47e6328bd6361dd6495626a9ce63ec4cf5dd542653b921f8e4b634e0ce99'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-05-28T06:39:10Z,12521270,0x2949b47edb646c65b9ebe42161383226bdac3f7a1abb71f038560fe7f4915247,0x42c557e52a56ad534010d5c0a8f98e76d43f01b0f7a621bca55995755567b521,70,True,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,0.0,$0.00,1039427,640288,47000000000,30093536000000000,73.28662805500781,$73.29,2435.294677734375,"[{'block_signed_at': '2021-05-28T06:39:10Z', 'tx_hash': '0x42c557e52a56ad534010d5c0a8f98e76d43f01b0f7a621bca55995755567b521', 'from_address': '0xfd3dfb524b2da40c8a6d703c62be36b5d8540626', 'from_address_label': None, 'to_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'IN', 'delta': '237513318913267', 'balance': None, 'quote_rate': 0.02162270061671734, 'delta_quote': 51356.7938734448, 'pretty_delta_quote': '$51,356.79', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0x42c557e52a56ad534010d5c0a8f98e76d43f01b0f7a621bca55995755567b521'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-05-26T22:29:07Z,12512623,0x15848d379fef1983095835d9804244da6ef2a642ff960984c790fc99c415094f,0x5d2f300ab8209aeb1d709849927fb3db8415ac837bbadfdc7b270c6b14c89e51,8,True,0x8595dd9e0438640b5e1254f9df579ac12a86865f,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,0.0,$0.00,1070958,799358,44000000000,35171752000000000,101.97975645459766,$101.98,2899.47900390625,"[{'block_signed_at': '2021-05-26T22:29:07Z', 'tx_hash': '0x5d2f300ab8209aeb1d709849927fb3db8415ac837bbadfdc7b270c6b14c89e51', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0xfd3dfb524b2da40c8a6d703c62be36b5d8540626', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '438200000000000', 'balance': None, 'quote_rate': 0.021629394963383675, 'delta_quote': 94780.00872954726, 'pretty_delta_quote': '$94,780.01', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0x5d2f300ab8209aeb1d709849927fb3db8415ac837bbadfdc7b270c6b14c89e51'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-05-20T16:00:17Z,12472227,0xf0b2c735e7c54c7e7b657f377e2272c64d3ff41ab94227b2b53ace43cfa8ec8b,0xb3c2126b518b361ef1b870e2fd5ee87d065773f5d71bfdf405b70faef15b0301,176,True,0xf20b338752976878754518183873602902360704,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,0,0.0,$0.00,442935,317061,136000000000,43120296000000000,119.62959729314062,$119.63,2774.322265625,"[{'block_signed_at': '2021-05-20T16:00:17Z', 'tx_hash': '0xb3c2126b518b361ef1b870e2fd5ee87d065773f5d71bfdf405b70faef15b0301', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0x9896bd979f9da57857322cc15e154222c4658a5a', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '6476772250000', 'balance': None, 'quote_rate': 0.02128072828054428, 'delta_quote': 1378.3043038721942, 'pretty_delta_quote': '$1,378.30', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0xb3c2126b518b361ef1b870e2fd5ee87d065773f5d71bfdf405b70faef15b0301'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2021-05-02T09:16:08Z,12353909,0x6edd684f2f2b5b0d8fc963428d99924dc90a866fef11c91636b87cdb7ebd031b,0xe50b5cbad89689d10a6a98dfcb0c8b0e94633ffbdfe95e512616ae5dde57d021,107,True,0xbcc817f057950b0df41206c5d7125e6225cae18e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x11111112542d85b3ef69ae05771c2dccff4faa26,,60000000000000000000,177269.296875,"$177,269.30",869071,564395,30000000000,16931850000000000,50.02495240488281,$50.02,2954.48828125,"[{'block_signed_at': '2021-05-02T09:16:08Z', 'tx_hash': '0xe50b5cbad89689d10a6a98dfcb0c8b0e94633ffbdfe95e512616ae5dde57d021', 'from_address': '0xdb38ae75c5f44276803345f7f02e95a0aeef5944', 'from_address_label': None, 'to_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'IN', 'delta': '806476772257117', 'balance': None, 'quote_rate': 0.021447718143463135, 'delta_quote': 172970.86500620554, 'pretty_delta_quote': '$172,970.87', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0xe50b5cbad89689d10a6a98dfcb0c8b0e94633ffbdfe95e512616ae5dde57d021'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
2020-09-27T19:36:50Z,10946527,0x5f2f34c06f1ae86671da5b86b516699fa7687d088a294f35fff37ed8538b41d9,0xce956fd4904e3ee277b7bede5d335c0a2a83825b0a258c7e10618cb4f2b6eeb9,50,True,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,,0,0.0,$0.00,467850,286857,70000000000,20079990000000000,7.170472632658997,$7.17,357.0954284667969,"[{'block_signed_at': '2020-09-27T19:36:50Z', 'tx_hash': '0xce956fd4904e3ee277b7bede5d335c0a2a83825b0a258c7e10618cb4f2b6eeb9', 'from_address': '0x0039f22efb07a647557c7c5d17854cfd6d489ef3', 'from_address_label': None, 'to_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'to_address_label': None, 'contract_decimals': 8, 'contract_name': 'Compound Dai', 'contract_ticker_symbol': 'cDAI', 'contract_address': '0x5d3a536e4d6dbd6114cc1ead35777bab948e3643', 'logo_url': 'https://logos.covalenthq.com/tokens/1/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.png', 'transfer_type': 'OUT', 'delta': '780140483868800', 'balance': None, 'quote_rate': 0.020912321284413338, 'delta_quote': 163145.48445642026, 'pretty_delta_quote': '$163,145.48', 'balance_quote': None, 'explorers': [{'label': 'Etherscan', 'url': 'https://etherscan.io/tx/0xce956fd4904e3ee277b7bede5d335c0a2a83825b0a258c7e10618cb4f2b6eeb9'}], 'method_calls': None}]",18,Ether,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,[],https://www.datocms-assets.com/86369/1669653891-eth.svg,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
